# Arapça	Türkçe okunuş (Leknevî'nin biyografilerinde adı geçen eserler)
أحكام القرآن	Ahkamü'l-Kur'an
قصيدة بالتركية	Türkçe kaside
كامل الفتاوى	Kamilü'l-fetava
كتاب إنشاء	Kitabü inşa
كتاب الأضاحي	Kitabü'l-edahi
كتاب الإرجاء	Kitabü'l-irca
كتاب التراويح	Kitabü't-teravih
كتاب التوبة	Kitabü't-tevbe
كتاب التوحيد	Kitabü't-tevhid
كتاب الحج	Kitabü'l-hac
كتاب الحيض	Kitabü'l-hayz
كتاب الحيل	Kitabü'l-hiyel
كتاب الخراج	Kitabü'l-harac
كتاب الرضاع	Kitabü'r-rada'
كتاب السنة والجماعة	Kitabü's-sünne ve'l-cemaa
كتاب الشروط	Kitabü'ş-şurut
كتاب الصلاة	Kitabü's-salat
كتاب المقالات	Kitabü'l-makalat
كتاب النفقات	Kitabü'n-nafakat
كتاب الوصايا	Kitabü'l-vesaya
كتاب في الألفاظ المكفرة	Kitab fi'l-elfazi'l-mükeffire
كتاب في الخلاف	Kitab fi'l-hilaf
كتاب في العروض	Kitab fi'l-aruz
كتاب في الفقه إلى النكاح	Kitab fi'l-fıkh ile'n-nikah
كتاب في المناسك	Kitab fi'l-menasik
كتاب في علم الكلام	Kitab fi ilmi'l-kelam
كشف الآثار الشريفة في مناقب أبي حنيفة	Keşfü'l-asari'ş-şerife fi menakıbi Ebi Hanife
كشف الأسرار شرح أصول البزدوي	Keşfü'l-esrar şerhu Usuli'l-Pezdevi
كشف الأسرار شرح المنار	Keşfü'l-esrar şerhu'l-Menar
كشف الأسرار في أصول الفقه	Keşfü'l-esrar fi usuli'l-fıkh
كشف الإبهام لرفع الأوهام	Keşfü'l-ibham li-ref'i'l-evham
كفاية الفحول في الأصول	Kifayetü'l-fuhul fi'l-usul
كفاية المنتهي	Kifayetü'l-müntehi
كمال الدراية شرح النقاية	Kemalü'd-diraye şerhu'n-Nukaye
كنز الدقائق	Kenzü'd-dekaik
مآخذ الشرائع	Me'ahizü'ş-şerai'
مبارق الأزهار شرح مشارق الأنوار	Mebariku'l-ezhar şerhu Meşarikı'l-envar
مجمع البحرين	Mecma'u'l-bahreyn
مجمع البحرين في اللغة	Mecma'u'l-bahreyn fi'l-luga
مجموع النوازل	Mecmu'u'n-nevazil
مختارات النوازل	Muhtaratü'n-nevazil
مختصر إصلاح المنطق	Muhtasaru Islahi'l-mantık
مختصر الفصول	Muhtasarü'l-Fusul
مختصر المحصل	Muhtasarü'l-Muhassal
مختصر المفصل	Muhtasarü'l-Mufassal
مختصر النوادر لأبي الليث	Muhtasarü'n-Nevadir li-Ebi'l-Leys
مختصر تقويم الأدلة	Muhtasaru Takvimi'l-edille
مختصر علوم الحديث	Muhtasaru ulumi'l-hadis
مختصر في علوم الحديث	Muhtasar fi ulumi'l-hadis
مختصر كتاب الكرخي	Muhtasaru kitabi'l-Kerhi
مدارك التنزيل	Medarikü't-tenzil
مرآة الأصول	Mir'atü'l-usul
مرآة الزمان	Mir'atü'z-zaman
مرقاة الوصول	Mirkatü'l-vusul
مسند أبي حنيفة	Müsnedü Ebi Hanife
مشارق الأنوار	Meşarikü'l-envar
مشكل الآثار	Müşkilü'l-asar
مصابيح السبل	Mesabihu's-sübül
مصباح الأنس شرح مفتاح الغيب	Misbahu'l-üns şerhu Miftahi'l-gayb
مصنف في الإنشاء	Musannef fi'l-inşa
مطلع المعاني ومنبع المباني	Matla'u'l-meani ve menba'u'l-mebani
معالم الدين	Mealimü'd-din
معراج الدراية شرح الهداية	Mi'racü'd-diraye şerhu'l-Hidaye
مفاتيح الجنان شرح شرعة الإسلام	Mefatihu'l-cinan şerhu Şir'ati'l-İslam
مفتاح التنزيل	Miftahu't-tenzil
مفتاح العلوم	Miftahu'l-ulum
مقدمة في الفرائض	Mukaddime fi'l-feraiz
مقدمة في الفقه	Mukaddime fi'l-fıkh
مقدمة في رفع اليدين	Mukaddime fi ref'i'l-yedeyn
مقصد المسند	Maksadü'l-Müsned
مكارم الأخلاق	Mekarimü'l-ahlak
مناجات بالتركية	Türkçe münacat
مناسك الحج	Menasikü'l-hac
مناقب أبي حنيفة	Menakıbu Ebi Hanife
مناقب الإمام الأعظم	Menakıbu'l-İmami'l-A'zam
منتخب شرح الزيادات لقاضيخان	Müntehabü Şerhi'z-Ziyadat li-Kadıhan
منتخب شرح السغناقي على الهداية	Müntehabü şerhi's-Siğnaki ale'l-Hidaye
منتهى السول في سيرة الرسول	Münteha's-sul fi sireti'r-Resul
منحة السلوك	Minhatü's-süluk
منظومة ابن وهبان	Manzumetü İbn Vehban
منظومة في الأسطرلاب	Manzume fi'l-usturlab
ميزان الصرف	Mizanü's-sarf
نحو مير	Nahv-i Mir
نصب الراية لأحاديث الهداية	Nasbü'r-raye li-ehadisi'l-Hidaye
نظم الجامع الصغير	Nazmü'l-Cami'i's-sagir
نظم السراجية	Nazmü's-Siraciyye
نظم العقائد (القصيدة النونية)	Nazmü'l-akaid (el-Kasidetü'n-Nuniyye)
نظم الكنز	Nazmü'l-Kenz
نظم المختار	Nazmü'l-Muhtar
نظم المنار	Nazmü'l-Menar
نظم النافع	Nazmü'n-Nafi'
نظم النسفية	Nazmü'n-Nesefiyye
نظم مختصر القدوري	Nazmü Muhtasari'l-Kuduri
نفحات الأنس	Nefehatü'l-üns
نفحات النسمات في وصول الثواب إلى الأموات	Nefehatü'n-nesemat fi vusuli's-sevab ile'l-emvat
نقد النصوص	Nakdü'n-nusus
هداية المهتدين	Hidayetü'l-mühtedin
